epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,839.194,1.14065,1.91107,1.37984,0.95306,0.68808,0.85496,0.84664,0.71908,0.68596,0.85659,0.84311,0.63134,0.63265,1.02341,0.95274,0.82035,0.000336498,0.000336498,0.000336498
41,859.721,1.13085,1.86619,1.3562,0.94512,0.60083,0.84438,0.76724,0.64509,0.59366,0.83664,0.75892,0.56478,0.62779,1.03146,0.99431,0.8242,0.000334434,0.000334434,0.000334434
42,880.292,1.18103,1.95273,1.35198,0.96306,0.59936,0.83813,0.73842,0.61985,0.59619,0.83434,0.73242,0.54622,0.63068,1.00931,1.00725,0.82186,0.00033237,0.00033237,0.00033237
43,901.23,1.19316,1.93921,1.38571,0.96419,0.62598,0.80468,0.73503,0.61216,0.62448,0.80279,0.73065,0.51594,0.65502,1.07324,1.02184,0.82355,0.000330306,0.000330306,0.000330306
44,922.277,1.16046,1.87142,1.32221,0.95532,0.68075,0.82322,0.81931,0.68777,0.67932,0.82132,0.81781,0.60622,0.6723,1.16464,0.95133,0.82924,0.000328242,0.000328242,0.000328242
45,943.233,1.12686,1.83584,1.32486,0.95721,0.7502,0.82686,0.8413,0.71256,0.74818,0.82641,0.83929,0.61319,0.61303,1.00548,0.90524,0.8218,0.000326177,0.000326177,0.000326177
46,964.394,1.11383,1.87927,1.3076,0.95035,0.6803,0.82841,0.80564,0.69397,0.68256,0.82227,0.80096,0.60793,0.57791,1.00856,0.9098,0.81174,0.000324113,0.000324113,0.000324113
47,985.148,1.09868,1.83609,1.30428,0.94398,0.63539,0.83217,0.73593,0.62493,0.63097,0.82851,0.73318,0.53438,0.60137,1.01104,0.97899,0.815,0.000322049,0.000322049,0.000322049
48,1006.33,1.1068,1.81288,1.30434,0.95472,0.63128,0.80528,0.74814,0.63713,0.62875,0.80086,0.74322,0.54025,0.568,0.98788,0.97035,0.81328,0.000319985,0.000319985,0.000319985
49,1027.63,1.09098,1.77719,1.24111,0.93955,0.74088,0.83169,0.86597,0.74823,0.73908,0.82979,0.86309,0.64463,0.5602,0.97443,0.87109,0.81381,0.000317921,0.000317921,0.000317921
50,1048.4,1.07446,1.77685,1.25487,0.934,0.72234,0.81038,0.82549,0.71367,0.72234,0.81038,0.82474,0.60327,0.56586,0.99923,0.90503,0.81635,0.000315857,0.000315857,0.000315857
51,1069.05,1.05904,1.71762,1.24686,0.93626,0.68177,0.84533,0.8247,0.70577,0.68177,0.84533,0.82395,0.61324,0.57363,1.01335,0.88677,0.81416,0.000313792,0.000313792,0.000313792
52,1089.83,1.12856,1.81712,1.28189,0.94808,0.75023,0.82493,0.83317,0.70894,0.75023,0.82493,0.83109,0.60544,0.62469,0.9919,0.88548,0.82042,0.000311728,0.000311728,0.000311728
53,1110.8,1.03646,1.71403,1.21629,0.93316,0.72352,0.882,0.86217,0.73489,0.71769,0.87443,0.85358,0.62763,0.60441,1.00188,0.84468,0.81937,0.000309664,0.000309664,0.000309664
54,1131.29,1.08821,1.81136,1.22844,0.9417,0.66045,0.88741,0.82045,0.69665,0.66045,0.88741,0.82045,0.59894,0.62538,1.06432,0.91236,0.82209,0.0003076,0.0003076,0.0003076
55,1151.9,1.04241,1.69464,1.20702,0.93455,0.80173,0.86982,0.89148,0.75745,0.79874,0.86604,0.88706,0.67271,0.61836,1.01676,0.81226,0.82391,0.000305536,0.000305536,0.000305536
56,1172.78,1.03708,1.72988,1.19988,0.93372,0.78472,0.88652,0.89889,0.77742,0.78177,0.88273,0.89563,0.66357,0.58828,0.97228,0.8113,0.81475,0.000303472,0.000303472,0.000303472
57,1193.67,1.03088,1.73116,1.17307,0.92776,0.78083,0.88552,0.89697,0.76555,0.78083,0.88552,0.8959,0.67607,0.61318,0.99616,0.81342,0.81771,0.000301408,0.000301408,0.000301408
58,1214.34,1.07328,1.77239,1.18328,0.93859,0.76878,0.88671,0.89505,0.76693,0.76878,0.88671,0.89393,0.6694,0.58438,1.0274,0.80629,0.81872,0.000299343,0.000299343,0.000299343
59,1235.24,1.08483,1.77225,1.19794,0.94404,0.72459,0.85668,0.83653,0.70704,0.73218,0.85092,0.83324,0.60687,0.61538,1.02336,0.83873,0.81548,0.000297279,0.000297279,0.000297279
60,1256.2,1.08613,1.80008,1.20716,0.94256,0.80773,0.84968,0.89969,0.78083,0.80584,0.84779,0.89477,0.66216,0.56792,0.99856,0.78001,0.81191,0.000295215,0.000295215,0.000295215
61,1276.86,1.05558,1.74863,1.17368,0.93315,0.84154,0.8859,0.9297,0.79495,0.84154,0.8859,0.92576,0.68654,0.59128,1.00336,0.75321,0.81537,0.000293151,0.000293151,0.000293151
